,Latitude,clouds
286,50.68,20
287,NA,errorhereattawapiskat
288,60.75,76
289,69.49,12
290,45.18,20
291,NA,errorherekamenskoye
292,-8.9,24
293,48.95,90
294,21.35,75
295,1.63,92
296,27.5,1
297,-14.08,0
298,-29.03,0
299,-33.02,0
300,41.19,0
301,-11.41,0
302,5.69,56
303,46.65,36
304,38.96,20
305,27.87,0
306,34.16,88
307,40.29,92
308,66.15,8
309,51.59,0
310,NA,errorheresaleaula
311,-7.84,90
312,13.52,0
313,-45.41,88
314,7.43,92
315,59.79,90
316,7.71,24
317,-25.24,0
318,37.46,40
319,34.77,68
320,49.78,1
321,-19.55,0
322,45.76,20
323,6.12,0
324,39.94,40
325,13.17,40
326,-22.22,8
327,11.67,88
328,NA,errorheresahrak
329,8,80
330,29.36,8
331,-6.22,48
332,-2.57,36
333,0.12,92
334,NA,errorheretatawin
335,-22.87,0
336,51.02,0
337,61.32,0
338,34.41,1
339,NA,errorhereodweyne
340,33.93,0
341,-31.97,12
342,43.97,1
343,48.65,92
344,NA,errorherebolungarvik
345,61.68,0
346,14.2,36
347,-34.71,75
348,53.19,12
349,55.31,68
350,5.35,64
351,52.63,0
352,37.73,20
353,41.69,90
354,53.94,0
355,NA,errorheredenau
356,6.8,75
357,23.99,90
358,53.14,0
359,28.89,44
360,26.25,88
361,45.34,0
362,-16.48,36
363,44.57,0
364,41.37,40
365,30.41,12
366,NA,errorherephan rang
367,45.16,75
368,2.67,88
369,NA,errorherewahran
370,59.64,90
371,62.23,76
372,43.78,40
373,-10.07,0
374,16.97,12
375,-20.31,0
376,18.22,40
377,30.29,1
378,41.71,90
379,54.47,0
380,60.14,80
381,-3.52,64
382,50.04,0
383,-19.16,8
384,13.27,20
385,47.66,1
386,51.89,0
387,NA,errorhereagua caliente de linaca
388,31.86,0
389,70.47,90
390,9.22,88
391,68.31,88
392,30.69,0
393,35.03,0
394,-2.02,24
395,16.78,92
396,-0.87,8
397,50.56,8
398,0.61,36
399,45.36,90
400,39.49,0
401,44.83,0
402,44.29,88
403,30.82,32
404,68.06,76
405,67.47,0
406,2.04,88
407,-20.77,0
408,-0.9,24
409,-6.34,40
410,-26.98,92
411,21.65,92
412,-16.19,0
413,44.9,90
414,59.1,68
415,47.47,32
416,38.42,8
417,63.84,90
418,28.28,64
419,NA,errorhereokandja
420,-27.37,0
421,6.19,75
422,38.61,0
423,38.8,20
424,20.71,75
425,70.62,88
426,5.88,75
427,-5.04,8
428,22.76,88
429,-6.32,76
430,48.72,0
431,39.51,0
432,-26.19,90
433,30.7,12
434,41.51,1
435,7.77,24
436,-4.97,100
437,-1.2,0
438,48.03,8
439,-34.72,64
440,43.32,40
441,-9.56,0
442,-42.77,48
443,55.15,92
444,60.06,32
445,46.12,92
446,1.43,32
447,NA,errorherecockburn harbour
448,25.52,80
449,26.54,32
450,66.32,36
451,25.33,36
452,NA,errorheretapaua
453,17.01,75
454,NA,errorhereporto santo
455,45.29,0
456,55.34,75
457,51.55,0
458,43.71,40
459,65.85,88
460,-7.38,92
461,44.91,0
462,-3.01,20
463,-5.81,40
464,NA,errorheresatitoa
465,60.4,88
466,30.52,1
467,-15.82,0
468,NA,errorhereambodifototra
469,26.54,88
470,NA,errorheremeyungs
471,-13.71,75
472,NA,errorherebarentsburg
473,20.89,40
474,-19.62,0
475,27.27,0
476,37.47,0
477,15.83,40
478,55.46,0
479,61.01,0
480,-0.61,8
481,57.69,0
482,-20.25,0
483,-8.45,0
484,5.1,76
485,49.17,100
486,62.78,90
487,47.83,0
488,52.06,0
489,30.58,0
490,32.3,20
491,-10.82,0
492,60.56,0
493,-19.64,0
494,20.28,88
495,61.04,0
496,44.02,1
497,49.42,20
498,-2.42,12
499,62.6,0
500,21.7,92
501,9.67,44
502,10.49,75
503,37.14,0
504,-8.15,68
505,-8.09,20
506,-17.73,0
507,65.95,64
508,NA,errorhereozgon
509,-20.74,0
510,49.04,0
511,36.49,40
512,43.41,90
513,-0.91,76
514,58.73,0
515,12.25,20
516,35.41,100
517,67.67,92
518,4.89,76
519,34.34,0
520,17.54,56
521,-23.7,0
522,54.08,0
523,39.15,1
524,NA,errorheresamusu
525,7.04,75
526,62.93,44
527,-6.53,20
528,50.1,20
529,30.8,44
530,-35.17,64
531,45.6,0
532,-15.19,0
533,35.94,88
534,69.38,88
535,42.27,88
536,14.73,20
537,64.84,76
538,-21.64,0
539,52.37,8
540,33.37,0
541,41.14,40
542,39.62,1
543,34.51,1
544,37.38,0
545,38.73,20
546,62.14,80
547,-5.11,92
548,11.27,44
549,43.82,1
550,26.13,100
551,58.67,0
552,-31.54,40
553,31.34,1
554,61.92,48
555,41.25,20
556,13.22,40
557,35.04,48
558,NA,errorherekorla
559,39.93,80
560,NA,errorherehemeius
561,60.42,0
562,31.63,20
563,0.62,44
564,61.22,90
565,59.13,76
566,-3.28,32
567,9.55,20
568,57.13,56
569,8.25,56
570,-15.81,0
571,64.52,92
572,34.35,0
573,34.26,90
574,-15.07,0
575,44.08,40
576,32.47,40
577,53.57,0
578,28.18,0
579,6.62,92
580,-32.03,92
581,43.13,1
582,-0.72,56
583,53.63,0
584,-43.53,36
585,-23.68,0
586,2.02,64
587,54.91,68
588,27.03,0
589,-23.53,88
590,50.67,56
591,13.64,20
592,42.68,68
593,52.04,90
594,2.82,75
595,16.99,75
596,56.17,0
597,65.4,24
598,25.94,0
599,46.42,0
600,29.72,20
601,-9.87,68
602,NA,errorherecozumel
603,56.02,0
604,46.64,92
605,-12.66,36
606,-2.54,92
607,47.57,92
608,NA,errorherekerteh
609,-1.75,8
610,-20.65,88
611,-45.87,0
612,40.77,68
613,-25.17,0
614,-17.91,0
615,-22.14,68
