,Latitude,humidity
211,51.79,100
212,13.07,94
213,34.92,88
214,-45.87,70
215,32.72,58
216,-37.88,88
217,29.06,100
218,16.86,83
219,NA,errorhereacarau
220,32.22,38
221,NA,errorhereumzimvubu
222,NA,errorherenizhneyansk
223,10.15,74
224,29.03,50
225,-20.41,78
226,11.28,100
227,67.46,42
228,6.4,100
229,NA,errorheremys shmidta
230,48.39,74
231,49.98,29
232,-17.73,62
233,51.76,45
234,57.8,62
235,18.42,69
236,NA,errorherebolshaya murta
237,69.47,71
238,4.94,100
239,-8.28,92
240,24.63,11
241,-32.49,76
242,30.78,67
243,64.42,81
244,13.47,73
245,60.91,86
246,-17.3,84
247,72.79,100
248,56.57,85
249,-20.01,78
250,45.52,33
251,6.84,100
252,NA,errorhereasau
253,2.79,93
254,29.14,54
255,21.28,80
256,-2.54,79
257,4.89,96
258,-34.85,100
259,69.7,86
260,59.42,63
261,-34.05,100
262,62.57,100
263,58.52,39
264,-9.11,79
265,-6.48,82
266,-28.95,76
267,63.01,40
268,65.28,71
269,43.89,68
270,6.88,100
271,-31.62,85
272,-22.97,93
273,-0.86,100
274,17.54,79
275,54.11,93
276,NA,errorhereyirol
277,-3.71,78
278,62.53,85
279,-38.31,41
280,-19.06,88
281,49.36,91
282,63.18,81
283,24.68,74
284,44,93
285,8.48,98
286,50.68,94
287,NA,errorhereattawapiskat
288,60.75,36
289,69.49,68
290,45.18,82
291,NA,errorherekamenskoye
292,-8.9,87
293,48.95,93
294,21.35,54
295,1.63,97
296,27.5,95
297,-14.08,60
298,-29.03,42
299,-33.02,100
300,41.19,33
301,-11.41,91
302,5.69,95
303,46.65,100
304,38.96,88
305,27.87,15
306,34.16,99
307,40.29,85
308,66.15,93
309,51.59,51
310,NA,errorheresaleaula
311,-7.84,88
312,13.52,93
313,-45.41,90
314,7.43,99
315,59.79,100
316,7.71,91
317,-25.24,35
318,37.46,82
319,34.77,62
320,49.78,36
321,-19.55,100
322,45.76,41
323,6.12,99
324,39.94,69
325,13.17,66
326,-22.22,73
327,11.67,100
328,NA,errorheresahrak
329,8,96
330,29.36,66
331,-6.22,64
332,-2.57,100
333,0.12,100
334,NA,errorheretatawin
335,-22.87,93
336,51.02,82
337,61.32,65
338,34.41,53
339,NA,errorhereodweyne
340,33.93,65
341,-31.97,82
342,43.97,35
343,48.65,86
344,NA,errorherebolungarvik
345,61.68,69
346,14.2,60
347,-34.71,87
348,53.19,41
349,55.31,97
350,5.35,81
351,52.63,87
352,37.73,77
353,41.69,100
354,53.94,76
355,NA,errorheredenau
356,6.8,100
357,23.99,33
358,53.14,72
359,28.89,85
360,26.25,95
361,45.34,53
362,-16.48,99
363,44.57,87
364,41.37,69
365,30.41,67
366,NA,errorherephan rang
367,45.16,68
368,2.67,100
369,NA,errorherewahran
370,59.64,76
371,62.23,93
372,43.78,72
373,-10.07,88
374,16.97,86
375,-20.31,24
376,18.22,69
377,30.29,74
378,41.71,100
379,54.47,86
380,60.14,98
381,-3.52,96
382,50.04,51
383,-19.16,85
384,13.27,88
385,47.66,32
386,51.89,71
387,NA,errorhereagua caliente de linaca
388,31.86,61
389,70.47,86
390,9.22,89
391,68.31,99
392,30.69,67
393,35.03,69
394,-2.02,100
395,16.78,97
396,-0.87,100
397,50.56,69
398,0.61,90
399,45.36,100
400,39.49,83
401,44.83,63
402,44.29,90
403,30.82,86
404,68.06,94
405,67.47,80
406,2.04,100
407,-20.77,26
408,-0.9,100
409,-6.34,94
410,-26.98,100
411,21.65,95
412,-16.19,57
413,44.9,78
414,59.1,98
415,47.47,41
416,38.42,72
417,63.84,93
418,28.28,90
419,NA,errorhereokandja
420,-27.37,81
421,6.19,94
422,38.61,73
423,38.8,88
424,20.71,83
425,70.62,78
426,5.88,94
427,-5.04,91
428,22.76,85
429,-6.32,89
430,48.72,52
431,39.51,16
432,-26.19,93
433,30.7,81
434,41.51,27
435,7.77,91
436,-4.97,100
437,-1.2,87
438,48.03,58
439,-34.72,100
440,43.32,67
441,-9.56,48
442,-42.77,80
443,55.15,65
444,60.06,75
445,46.12,98
446,1.43,93
447,NA,errorherecockburn harbour
448,25.52,99
449,26.54,100
450,66.32,68
451,25.33,69
452,NA,errorheretapaua
453,17.01,88
454,NA,errorhereporto santo
455,45.29,93
456,55.34,71
457,51.55,71
458,43.71,82
459,65.85,62
460,-7.38,94
461,44.91,63
462,-3.01,83
463,-5.81,88
464,NA,errorheresatitoa
465,60.4,76
466,30.52,94
467,-15.82,63
468,NA,errorhereambodifototra
469,26.54,100
470,NA,errorheremeyungs
471,-13.71,82
472,NA,errorherebarentsburg
473,20.89,66
474,-19.62,80
475,27.27,42
476,37.47,73
477,15.83,88
478,55.46,87
479,61.01,58
480,-0.61,95
481,57.69,93
482,-20.25,72
483,-8.45,68
484,5.1,100
485,49.17,100
486,62.78,82
487,47.83,72
488,52.06,84
489,30.58,27
490,32.3,88
491,-10.82,73
492,60.56,89
493,-19.64,62
494,20.28,66
495,61.04,88
496,44.02,27
497,49.42,38
498,-2.42,85
499,62.6,71
500,21.7,100
501,9.67,98
502,10.49,94
503,37.14,77
504,-8.15,93
505,-8.09,94
506,-17.73,99
507,65.95,59
508,NA,errorhereozgon
509,-20.74,26
510,49.04,68
511,36.49,78
512,43.41,93
513,-0.91,94
514,58.73,66
515,12.25,84
516,35.41,79
517,67.67,96
518,4.89,97
519,34.34,69
520,17.54,86
521,-23.7,37
522,54.08,45
523,39.15,35
524,NA,errorheresamusu
525,7.04,70
526,62.93,40
527,-6.53,60
528,50.1,40
529,30.8,77
530,-35.17,100
531,45.6,67
532,-15.19,100
533,35.94,90
534,69.38,95
535,42.27,50
536,14.73,74
537,64.84,32
538,-21.64,96
539,52.37,64
540,33.37,61
541,41.14,73
542,39.62,61
543,34.51,100
544,37.38,59
545,38.73,94
546,62.14,99
547,-5.11,75
548,11.27,82
549,43.82,35
550,26.13,100
551,58.67,81
552,-31.54,88
553,31.34,17
554,61.92,81
555,41.25,59
556,13.22,66
557,35.04,84
558,NA,errorherekorla
559,39.93,100
560,NA,errorherehemeius
561,60.42,47
562,31.63,72
563,0.62,98
564,61.22,67
565,59.13,74
566,-3.28,96
567,9.55,88
568,57.13,87
569,8.25,96
570,-15.81,91
571,64.52,95
572,34.35,33
573,34.26,72
574,-15.07,84
575,44.08,82
576,32.47,30
577,53.57,42
578,28.18,53
579,6.62,100
580,-32.03,100
581,43.13,19
582,-0.72,100
583,53.63,57
584,-43.53,46
585,-23.68,77
586,2.02,86
587,54.91,52
588,27.03,33
589,-23.53,35
590,50.67,93
591,13.64,94
592,42.68,76
593,52.04,77
594,2.82,78
595,16.99,83
596,56.17,56
597,65.4,85
598,25.94,67
599,46.42,81
600,29.72,77
601,-9.87,58
602,NA,errorherecozumel
603,56.02,87
604,46.64,95
605,-12.66,100
606,-2.54,100
607,47.57,89
608,NA,errorherekerteh
609,-1.75,94
610,-20.65,100
611,-45.87,100
612,40.77,49
613,-25.17,84
614,-17.91,62
615,-22.14,100
